wafer_id,lot_id,process_stage,temperature_C,pressure_mbar,defect_count,equipment_log,defect_type,hour,exposure_time_ms
WFR-00000,LOT-4,Lithography,121.83005216043853,2.829700526497799,2,EQ-ETCH-06:2025-03-31T06:46:17.669038 - 57,,13,175.80716139672847
WFR-00001,LOT-4,Etching,149.8988403736214,3.0135244138532125,2,EQ-PHOTO-02:2025-01-18T21:44:58.163609 - 41,Particle,19,53.83810165072042
WFR-00002,LOT-2,Etching,152.34228622142624,2.94203423357213,1,EQ-PHOTO-02:2025-03-20T03:12:41.344166 - 85,Particle,7,186.2184855996665
WFR-00003,LOT-2,Deposition,112.93047233104886,2.9969328205837624,1,EQ-PHOTO-04:2025-03-02T07:45:51.810891 - 50,,18,89.00275959114413
WFR-00004,LOT-4,Lithography,134.56933242216587,3.224694803791792,0,EQ-ETCH-03:2025-03-30T02:41:32.336554 - 29,,9,113.41272693371249
WFR-00005,LOT-1,Implantation,133.93969121766443,3.809941898528327,1,EQ-PHOTO-04:2025-03-09T13:43:25.161223 - 10,,10,135.84017176840212
WFR-00006,LOT-3,Deposition,153.59477609471446,2.49776326379058,1,EQ-PHOTO-05:2025-02-07T08:16:38.800333 - 46,,14,65.4115972656428
WFR-00007,LOT-2,Deposition,174.90448584532686,3.047417051882619,1,EQ-ETCH-03:2025-03-28T01:26:36.817873 - 50,,7,52.562708464327834
WFR-00008,LOT-1,Lithography,150.94428168397206,3.175897162177354,0,EQ-ETCH-01:2025-03-01T03:11:09.387347 - 19,,11,187.94878742392223
WFR-00009,LOT-3,Etching,194.7876272125061,2.814335898606037,3,EQ-PHOTO-08:2025-03-14T21:05:44.965482 - 92,Overetch,19,60.31929062096636
WFR-00010,LOT-4,Etching,153.32582073010974,3.539982996247507,1,EQ-PHOTO-01:2025-03-26T00:40:05.882162 - 87,,12,166.88052737458727
WFR-00011,LOT-1,Lithography,157.42484418363216,,1,EQ-ETCH-05:2025-04-07T01:58:43.379485 - 59,,15,76.70947528177143
WFR-00012,LOT-3,Etching,162.00391437347514,3.337281988999897,1,EQ-ETCH-06:2025-03-27T22:28:01.947751 - 86,,17,172.69989108580353
WFR-00013,LOT-3,Deposition,198.22877828081147,3.6297643504668,2,EQ-PHOTO-02:2025-03-24T02:49:57.363788 - 11,,7,115.39599570999108
WFR-00014,LOT-4,Etching,155.42946970176476,3.1988371353330263,2,EQ-ETCH-01:2025-03-05T21:00:39.748418 - 22,,15,146.67166955854668
WFR-00015,LOT-4,Etching,183.47435790571177,2.9119079578452225,3,EQ-ETCH-03:2025-02-28T13:51:15.415481 - 64,Overetch,15,173.0471448591976
WFR-00016,LOT-2,Implantation,154.05448005726757,3.240377995021137,0,EQ-ETCH-03:2025-01-15T10:18:19.848529 - 30,,9,140.2433382463381
